About the game,Genres
Take on the role of an epic titan of death named Reaper . Your nemesis the Bringer of Life has broken from tradition - the cycles of life - and created a sentient race known as the Humans . They don ' t want the cycles of life to claim them and neither does Bringer of Life . Now it ' s up to you as Reaper to complete the cleansing cycles of life and death . Destroy objects and solve puzzles with the use of 2 D physics . Take matters into your own hands . Use the environment around you like trees and other objects as weapons to crush your enemies . Upgrade Reaper by harvesting souls . Souls can be spent on upgrading weapons to last longer during combat or to upgrade Reaper himself for various benefits . Defeat epic bosses throughout the game .,"Action,Adventure,Indie"
"The cameras are all focused on you; the center of the scene . Not just in character , you are the character . The part to play is singularly yours . Written just for you . You are met with silence . No barking orders from the director . No call to action that you need to become this version of yourself . The demand to act fills your mind , but the script pages hold no words . Your past has helped to mold you into what you are , forced upon you the skills required to hone your craft . That same past has scraped deep furrowing scars into you , not on the outside where the world can see , but in a place buried so deep within that it has become shapeless . You push those memories down but let the experiences drive you into who , or what , you must play . Darkness surrounds as you stand silently in the spotlight , the only sounds to be heard over your heartbeat are the distant breaking of waves against the hull and the sound of cameras pointed in your direction preserving this moment for eternity . A deep and commanding voice rises from the distance . Act . What part will you play ? Game Features : Story - driven exploration - You must explore the world around you . Discover your past , and expose the reason for your having been cast for this film . Psychological horror - Is this part of the film , or are your memories playing tricks on you ? Your world may change with the slightest of provocations , you must decide what is real . Ocean Liner setting - Your explorations into the depths of the ship that play the scenes for the film become ever more incredible , and ever more terrifying . Classical , ominous soundtrack - An original score composed by Arkadiusz Reikowski , conducted by George Strezov , and performed by the Sofia Session Orchestra","Adventure,Casual,Indie"
"A terrifying myth comes alive in Germany ! Many years ago a monster stalked the German forest surrounding Castle Finster . According to locals and storytellers , the monster disappeared when it claimed a victim . Now everyone is frightened by the sights and sounds of something large stumbling through the darkness . Can you solve the mystery before the monster adds another chapter to this legend ? Key features : Play as Nancy Drew and Explore a German Castle Plug into Castle Security Cameras Uncover Hidden Rooms and Secret Passages Search for Suspects and Spy on the Monster Play a German Folk Tale Game",Adventure
"Walstiki The best stupid game of the century Walstiksi is a new game where you go through multiple very hard level to find and achieve the donut . Some might say that Walstikski is the hardest game they have ever played . Throughout the game you have many different parkour levels , ranging from fun and very hard droppers , to fun and very hard normal parkour . The game will be updated soon to having a multiplayer , more levels added , and a story mode . Do You Think You Can Beat The Game . . . . . Cause I don ' t .","Action,Adventure,Casual,Simulation"
"A Bleaker Predicklement is the funniest game set in Victorian London you will ever play - Packed full of British Humour , weird characters and awful jokes . The year is 1 8 8 4 and World ' s Leading Victorian Explorator , Bertram Fiddle is still struggling to find a suitable adventure . Bowing to his wife ' s demands for a steady income he has been forced to take a job as a telegrammatical salesman in Dulsworth ' s Soap Factory . But Mr . Dulsworth isn ' t as squeaky clean as everyone thinks and soon Bertram finds himself embroiled in a mystery far bleaker than he could possibubbly imagine . With over 6 0 scenes A Bleaker Predicklement is a funny , weird and mysterious point and click adventure game full of puzzles , dark secrets and terrible , terrible puns . Explore the richly detailed world full of suspicious characters , solve mind - befuddling puzzles and track down Victorian London ' s most elusive serial killer - Geoff the Murderer ! Inspired by classic adventure games , Hammer Horror films , cartoon network shows , Sherlock Holmes and Lovecraft it is jam - packed with Victorian mystification . Featuring - Fully voice - acted characters - Beautifully animated interactions - Over 6 0 locations to explore - An original soundtrack composed by Cam Reynolds inspired by 1 9 7 0 s B movies - A massive monster - A make your own meat friend mini - game - Even more terrible puns ! The Evening Burble is calling it ' The Greatest Adventure of 1 8 8 4 ' ' Playing Bertram Fiddle is like a watching a lost , sinister animation , but in a good way . I enjoy stumbling along and soaking up the absurdities . ' Matt Elliot , PC Gamer ' plenty of riddles , tea - drinking and strangely - shaped noses , ' Samuel Horti - Rock Paper Shotgun ' I wish I made games as funny as this , ' Ron Giblets ' The Adventures of Bertram Fiddle : Episode 2 might just have the most amount of puns in a videogame EVER , ' Baden Ronie , Wolf ' s Gaming Blog ' It ' s not as good as Donkey Island , ' Guy Hardwood , aged 4 9","Adventure,Casual,Indie"
"Federation 7 7 is a brutal and dynamic VR shooter in various arenas in a post - Soviet cyberpunk setting that brings the concept of violence and stimulants to the forefront . 2 0 7 7 , the city of M , the territory of the Federation . The country is still reeling from a war it started . You are a cyberpsycho , whose program has crashed due to a ' Taras - Kulish ' fatal error that encourages you to kill . It ' s time to clear the streets of dirt . Main features : Ultra violence is the goal Violence is a core game concept in which killing enemies and dismembering them is the only way to the top of the leaderboard . High dynamic combat Adrenaline - fueled firefights will not let you get bored . For a successful game session you constantly have to move , kill enemies and dodge bullets . Set of game modes There are several different game modes in the game , which give your unique experience and are woven into the narrative of the game . Variety of the game content A diverse arsenal with the different types of weapon behavior , different enemy factions with their own features , the set of game maps .","Action,Adventure,Indie,Sports"
"A true role - playing adventure . A campaign within the world of Vol , a fully realized setting inspired by the late bronze age in a Transylvanian landscape , with unique politics , races and gods steeped in history . Featuring a chosen party of five , you role - play Necholai , a minor god of a celestial body who descends to the Staglands for a moonlit festival only to find the way home blocked and immortality slipping away . Seeking answers and aid , you take on a mortal body and the guise of a traveling Spicer . This isn ' t a story of good and evil , saving the world or being a hero , it ' s about intrigue and your adventure of survival in a harsh land . While the game rolls the dice for you , you ' ll traverse the Staglands on a path narrated by your own wits and choices . A tabletop inspired experience with adventure - game like navigation , Serpent in the Staglands offers no auto - populating map markers , checklist quest grinding and rigid story exposition . Examine hand - drawn maps in your inventory for secret locations , diagrams of foreign languages , note encounters of interest in your in - game journal and figure out on your own how best to smuggle Spices . Roleplay , investigate , and pray to the RNG god when combat begins . Serpent in the Staglands features : Party - based , real time with pause combat focused on macro tactical decisions and creative party skill combinations Classless role - playing system : create builds via any combination of the over 1 0 0 magic , combat and aptitude skills available to create or find up to 5 unique characters Non - linear storyline to explore as your adventure allows No level scaling or story - blocked map barriers impede your adventure Dynamic item use , including an incantation book , hand - drawn maps , and a herbology kit for brewing potions Combat designed for minimal pause spamming and without cooldowns , instead focusing on pre - buffing , positioning and auto - triggering skills An unmarked map filled with wilderness , cities , towers , temples , dungeons and caverns to explore . Write your own journal notes for quests , puzzles and leads as you investigate . The game won ' t hold your hand or tell you what to do . Huge variety of enemies and challenges , including monsters , rogue mages and mutilated outlaws , which all can have the same spells and skills you do You ' ll never pay for updates , patches , or DLC of any kind for Serpent in the Staglands . For more gameplay information and official forums , please visit :","Adventure,RPG"
"In a creaky old tavern , in a forgotten corner of the video game universe , a storm is raging . The barkeep gets a patchy phone call . It ' s hard to tell what the caller is saying , but this much is clear : someone in The Six Pint Inn is planning a murder . There are six patrons; all of them are video game protagonists trying to escape their past . . . But The Six Pint Inn has a way of bringing back old memories . Each flashback plays out in an entirely different genre , sometimes blending multiple . By exploring these memories you may discover the identity of the murderer . . . or you may learn much darker secrets . In The Hex you will . . . Control the six patrons and explore The Six Pint Inn Delve into the memories of these cast - aside game protagonists to learn the truth of their past Learn the identity of the would - be murderer . . . as well as the victim The Hex takes roughly 6 hours to complete on the first playthrough .",Indie
"Explore a stunning variety of puzzles involving action , strategy and flow . Enjoy the physics - driven gameplay under the soothing soundtrack of L ' autre Endroit by Silence . Whether you like a good challenge or prefer an endless , zen - inducing experience then Super Chains has you covered ! Challenge your friends ' scores and try your hand at achievements mastery . Think you are skilled enough to tackle the leaderboards ? It ' s not going to be easy since each puzzle gets progressively harder the longer you play . Support one of the first indie puzzle games on Steam , enjoyed by hundreds of thousands of players for over a decade . 2 dengine presents the sequel and long awaited follow - up to the original puzzle game Chains .","Casual,Indie"
"At the very heart of Septerra lies the Core , a huge Biocomputer . Seven continents at different elevations , each with its own unique people and culture , orbit around the Core . According to an ancient prophecy , Septerra ' s continents will one day converge and join in orbit together on one level - this is the Legacy of Marduk , the Creator ' s son . The Chosen , fanatical believers in the supremacy of their own wisdom and technology , impatiently try to force the issue - causing a global catastrophe which threatens the lives of all Septerreans . Meanwhile , amongst the Junkers , a young woman named Maya gets caught up in the developing maelstrom and soon finds herself confronted by seemingly insurmountable problems . Without help she stands no chance of fulfilling the Prophesy before Septerra perishes . But whom can she trust in a world torn by war and treacherous intrigue - a world on the edge of the abyss ? FEATURES : A fantasy role playing game with over 1 4 0 characters and a complex , multi - level world Intriguingly varied story - line Choose up to nine party members , each with a unique motivation , skills and background The strategic combat system combines the best of turn - based and real - time elements Explore over 2 0 0 locations with mysterious buildings , landscapes , danger and surprise at every turn The Adventure - style user interface gives you maximum interaction Hundreds of entertaining voices spoken by professional actors",RPG
"Pester was released on Xbox live indies back in early 2 0 1 3 and was Flump Studios first game developed for public release . A remake of one of my early C 6 4 games , Pester is a very fast paced and busy vertical shooter . Graphically remastered with new sprite work from Dylan Barry and a thumping soundtrack from Matt Macfarland . Intense old school action Tate support Customisable play options , over 1 0 0 combinations of play Remastered sprite work from Dylan Barry Thumping soundtrack from Matt Macfarland",Indie
"You take on the role of a restaurant owner who just happens to be the Don of a mafia group . You will be giving orders to your gangsters , robbing people and collecting debts , stealing valuables and intimidating cops . However , you will also have to manage your restaurant - hire staff , advertise and try to avoid random events that will interfere with your operations . Will you be able to maintain balance between your businesses ? How long will you last ? Your restaurant will expand and improve . Buy extra tables to seat everyone who wants to visit your establishment . Advertise to increase popularity and invite as many people to your place as possible . But remember , the more people your restaurant attracts , the more staff will have to be hired to serve them . Most of your subordinates will be Gangsters . Send them on a variety of criminal activities . Rob banks , beat money out of debtors , intimidate cops and take control over the city streets Be careful when discarding cards . Some of them are marked with a little bell . When such cards appear in your hand , the events get added up to the matching bell ' s progress bar . Once an event is triggered , it will seriously affect your business . You will be laundering money you get from criminal activities through the restaurant . The richer you are , the more the police will be interested in your business . Once the police concern is maxed out , you will be arrested .","Casual,Indie,Strategy"
"The Crimson Diamond : Chapter 1 is your introduction to Crimson , Ontario Canada and the mysteries that lie in wait ! This is a fully playable chapter that sets the stage for what will follow . . . The Crimson Diamond is an EGA text parser mystery adventure game where you play as amateur geologist and reluctant detective Nancy Maple . Nancy is born and raised in the Toronto , Canada , where she works as a clerk for the Royal Canadian Museum . She dreams of attending university to study geology and mineralogy , and she ' s prepared to venture into the unknown to achieve her goals ! Follow Nancy as she travels north to the fictional ghost town of Crimson , Ontario to investigate the discovery of a massive diamond in the area . Eavesdrop on conversations to learn more about the eccentric cast of characters who find themselves gathered at Crimson Lodge . Explore the lodge and its environs to evaluate the diamond claim , and maybe solve a mystery or two along the way ! The Crimson Diamond is a cozy mystery that encourages reading and engaging in the story over devious arcade challenges .","Adventure,Free to Play,Indie"
"A lethal pandemic swept through the globe , mutating vermin into an aggressive menace and threatening to snuff out the light of humanity . Now my children , the survivors of the disease are rising back up , unwilling to let me become a hollow shell on the coast . ' - The city of Nyheim Nyheim is a game of risk management and rolling dice . In Nyheim you will gather a group of survivors , each contributing one or more eight - sided dice to the party . When you rest or explore in a location , you roll the dice and attempt to get the results that cards in the location require . Food , items and skills will grant you rerolls and ways to manipulate the dice , while injuries , threats and hardships will reroll them when you don ' t want to or remove them altogether ! Your ultimate goal is to survive through the winter , gather enough population , or rebuild Nyheim ' s hydroelectric dam . Crises , threats and ever - looming threat of starvation will make the road to victory harsh and unforgiving .",Strategy
"Essays on Empathy is a curated compilation of Deconstructeam ' s best efforts in seeking new narrative experiences in games . Inhabit the lives of a diverse cast of characters from all walks of life in bite - sized , innovative , interactive stories; from a hitman working at a flower shop , to a schoolgirl who is convinced her skeleton isn ' t hers . Explore 1 0 unique , offbeat tales including ' De Tres al Cuarto , ' a brand new short experience exclusive to the compilation about a couple of two - bit comedians trying to make it big . Ten Short Games About Life : Step into the shoes of a richly imagined cast of characters over 5 hours of vivid and varied gameplay . Premium Collector ' s Bonus Content : Soak up Deconstructeam ' s acclaimed artistry through sketches , design insights and a new mini documentary created specially for this collection . Sounds Of Sympathy : Features more than 2 hours of original music by Paula Ruiz , aka fingerspit .","Casual,Indie,RPG"
"The year 2 4 7 6 , Earth ' s space - federation has been building moon - bases across the galaxy . One of those moon - bases has been sending a distress signal . Space Grunts are a group of intergalactic ' problem ' solvers , sent to investigate . . Pick your type of Space Grunts : Leader , Enforcer or Tech junky , which will have an impact on items , weapons and environment . And start your mission : find your way into the moon - base , and figure out what has happened . You ' ll have to fight your way through aliens , robots , security drones and base - systems . Find the lower levels of the moon - base , and get to the core of the problems . Consumables - A large collection of consumables can be found all over the moon base from weapon enhancers , to destructive toys , armor , explosives , system - hacks , and more . Use the items wisely to advance deeper into the moon - base . Weapons - Starting with three standard Grunt weapons , you will be able to enhance them for more fire - power and range . On your way you ' ll also find alternate weapons , and melee weapons . Secrets - There are various ways to complete the game , anomalies leading to weird places , underground routes , and mysterious items to transport you to other area ' s of the moon - base . On top of these there are secret rooms and area ' s located all over the base , so never a dull moment ! Can you find the core of the problems ?","Action,Indie,RPG,Strategy"
"Step into the enchanting world of Alphadia , a revitalized epic fantasy RPG series that merges the first two titles , ' Alphadia I ' and ' Alphadia II ' , into a single , captivating adventure . Immerse yourself in a beautifully reimagined world , where attractive characters and their enthralling journey come to life through updated graphics . Experience a richer narrative with the inclusion of cross events , bridging the stories of I and II . Choices made in one game influence the unfolding drama in the other . Unveil the elusive true ending of Alphadia II by conquering both titles and meeting specific conditions . Moreover , delve into a treasure trove of rewards , including enemy catalog , and various other exciting extras . Alphadia I Embark on a compelling journey centered around ' energi ' , a mystical power harnessed from life energy . After a tumultuous conflict known as the Energi War leaves humanity reeling , peace seems restored following a century of reconstruction . However , the Schwarzschild Empire ' s declaration of war plunges the world into chaos once more . From the frontier city of Heiland , a new story of resilience and hope unfolds . Alphadia II Two centuries have passed since the Energi Crisis thwarted the empire ' s ambitions and saved the world from destruction . Yet , the world ' s life energy wanes , threatening its very existence . Enah , a heroic figure , establishes the Energi Guild to combat this ominous decline . Although the Guild ' s efforts initially bring stability , a resurgence of energi - related ambitions looms in the shadows , signaling a new wave of challenges and adventures .","Adventure,RPG,Simulation,Strategy"
"Take control of Gummy The Soft , whose fall from The Great Gob was far and hard . Chomp your way through tough as teeth enemies and face the dreaded Pearly Knights , a true test of your enam - mettle . Collect upgrades AND diseases to enhance your agility and control over your one and only tooth . Brush and floss daily . 2 8 0 upgrades to aid or hinder your run . Take a diseased upgrade and risk being able to cure the disease to keep only the positive effects Boss fights with multiple phases and attacks to keep you on your gums Hundreds of handcrafted rooms and a new body to explore every time you die Challenging rewarding skill based combat . No permanent stat upgrades Slow motion Accessibility options So much bodily fluid More teeth puns then you can shake a tooth brush at More fun then going to the dentist Cheaper too . . . . unless you have insurance or you know someone Use the agility and stickiness of your little gummy to run on walls to escape bullet hells . Jump high into the air to get a better view or to dodge an impossible amount of bullets . While your in the air , why not take the time to reflect on your life . The purchase you made . . . . WAIT ! That enemy is stunned ! JUMP ON IT ! ! ! As a kid , did you ever try to re - insert your baby tooth back into its gummy cavity ? No ? Well now ' s your chance ! Shoot your tooth and suck back ! Time it just right to inflict extra damage . Diseases Contract diseases as you play . Diseases are powerful but come at a price . Do you risk the poison of diarrhea for the speed and urgency it creates in you ? Leave the disease behind , and the body will consume the disease increasing the difficulty . Take entamaphobia to give all doorways a powerful laser . However , doors now cause damage by going through them . There ' s a creature that can administer a cure . But where and when you find him is unknown . Bosses The Pearly Knights wont go down without a fight . Face bosses that will fight tooth and tooth to guard their . . . little rectangle room . . . But they love it and it ' s theirs so beware ! Do you hate rogue - lites or need a more chill experience ? There ' s options to make the game more forgiving ! Want to start the game with a bunch of health ? Want to give yourself a little power boost ? There ' s more subtle options that no one will notice if you use . This wont block off content though . You play how you want . A note to potential buyers At first glance , Cavity Busters looks like your run of the mill roguelite . However the game has some unique mechanics . If you ' d like something new in the genre , I believe you ' ll have a deep , rewarding experience !","Action,Adventure,Indie"
"Ever wondered what would happen if you crossed Scrabble with an RPG ? Now you don ' t have to , because Letter Quest is here ! Help Grimm and Rose , a couple of adorable grim reapers , defeat monsters , ghosts , evil bunnies and more using the power of words ! Gameplay Letter Quest is a turn - based RPG where players attack monsters by spelling words . But be careful since the monsters know how to fight back - they can create different letter tiles such as poison , plague , stone , whirlwind , duplicator , spike and flipped , steal your health , heal themselves , use critical attacks , and much , much more ! Don ' t worry - Grimm and Rose have a lot of tricks up their sleeves too , including crystal tiles that give special bonuses , upgradeable weapons , books that provide unique boosts , special items , upgrades , potions , and more ! Features 4 0 stages , with 4 unique ways to play each one Five separate areas , each with unique art and music tracks Tons of upgrades , books , potions , special items and weapons to help you on your journey Over 3 0 monsters to fight Boss monsters with unique abilities Over 6 hours of gameplay - much more if you choose to complete everything ! 7 0 quests to complete 5 2 achievements A built - in dictionary of over 1 9 0 , 0 0 0 English words Keyboard Support All of the battles in Letter Quest can be played with keyboard - no more hunting for letters with the mouse if you don ' t want to ! Simply type letters to add them to the current word , hit backspace to remove the last letter typed , and much more ! Letter Quest also supports setting key bindings for most hot - keys right in the game ' s options menu . Bonuses ! Every copy of Letter Quest comes with the full 8 - song chiptune - y soundtrack , 4 high - res wallpapers , and some custom avatars . About Bacon Bandit Games We ' re a two - man Canadian game dev team attempting to make great games . Letter Quest is our first game , and we really hope that you enjoy it ! More Info","Casual,Indie"
"' Shoot Stuff , Jump Stuff , Bomb Stuff ' Horizon Shift is an explosive wave based , single screen shooter , with a ton of new ideas and platformer elements . Do what it takes to protect your horizon from the ever encroaching enemy attack ! Use the unique risk reward multiplier system to maximise power - ups , build your bomb and destroy EVERYTHING ! Horizon Shift also features an amazing pulse pounding soundtrack produced by Jason Heine of Heine House Entertainment . These original compositions are a fusion of House , Electronica and Chiptune . Features 7 different game modes and a ton of options to customise your experience A unique risk reward multiplier system Pulse pounding soundtrack produced by Jason Heine Epic boss battles and bonus rounds An original blend of classic arcade shooter and platforming","Action,Indie"
"Avadon 2 : The Corruption is a huge , indie fantasy role - playing adventure , the second chapter in the epic Avadon trilogy . You will serve the keep of Avadon , working as a spy and warrior to fight the enemies of your homeland . As a servant of the Black Fortress , your word is law . Experience an exciting fantasy role - playing adventure as you try to save your homeland from civil war and fiery destruction . Avadon 2 : The Corruption is an epic fantasy role - playing adventure in an enormous and unique world . You can choose from five different character classes , each with dozens of unique spells and abilities . Explore cunning dungeons , hunt for hundreds of magical artifacts , and travel through an enormous world , full of secrets . Avadon 2 features many different endings . Save your people , or betray them . The choice is yours ! Key Features : Epic fantasy role - playing adventure in an enormous and unique world . Five different character classes , with dozens of unique spells and abilities . Uncover the fascinating histories of Avadon and the many lands of Lynaeus . Many different endings . Will you be loyal to Avadon or switch sides and bring it down ? The choice is yours ! Dozens of side quests , dungeons , and secrets to discover . Hundreds of magical items to find . Use powerful crystals to make your artifacts even more powerful . Huge adventure with lots of replay value . Experience with Avadon : The Black Fortress is entirely unnecessary to enjoy Avadon 2 .","Indie,RPG,Strategy"
"Design and build rockets that will take humanity to the stars ! Space Company Simulator is the ultimate management game set in the space industry . Take on the challenges of the space transport industry . Manage your company effectively to win the technological and financial race to the top . Launch rockets , satellites , spaceships and orbital stations while becoming a new major player in the space industry ! Space Company Simulator genuinely reflects the challenges of the space industry in a way that no other video game has done before . Features Hire a world - class team or train your loyal workers into aerospace geniuses . Research new technologies and improve existing ones . Take on new contracts . Launch different corporations into space and get rewarded with funds to develop your company further . Design and build rockets . Customize your spacecraft and unlock new , better components to ensure the success of every mission . Created by space geeks , for space geeks . Our team put in hundreds of hours of painstaking research to realistically reflect the aspects of the space industry .","Simulation,Strategy,Early Access"
"You are just arriving at the Monument Islands . Want to go swimming ? Or rather take a dive into the deep sea ? Or do you want to visit the amusement arcade , do some shopping , dance at the beach party ? Fancy some surfing ? Or will you talk with the strange old tourist and listen what he has to say about these ancient mysterious monuments . . Discover exotic islands and explore ancient monuments Climb into deep mines and uncover secret passages Make the trip you always wanted and enjoy the tourist life An action adventure as varied as real life 2 4 0 fps supported Enjoy your vacation !","Action,Adventure"
"The game is about a robot in a robot factory . Our robot wants to escape from this factory because it has consciousness and factory wants to destroy it . - As players progress through levels , new upgrades will be unlocked . - By the help of new upgrades , player may reach inaccessible places . - Dozens of secret room . - Dozens of guns . - Dozens of puzzles . - Numerous enemies . - Numerous traps . - Boss Fights . - Numerous vehicles to use . - Numerous collectable items .","Action,Adventure,Indie"
